"bilanzkreis_id","building_id","lat","lon","beschreibung","strasse","plz","stadt"
"66","30",50.764094,6.139375,"Schule für Lernbehinderte Sonnenscheinstr.","Sonnenscheinstraße 1","52078","Aachen"
"120","125",50.772972,6.081065,"Städt. Evang. GS Jesuitenstraße","Jesuitenstraße 20","52062","Aachen"
"113","130",50.775387,6.120133,"Städt. Förderschule mit dem Förderschwerpunkt emotionale und soziale Entwicklung","Elsassstraße 92/94","52068","Aachen"
"271","642",50.748986,6.152292,"Städt. GGS + Jugendeinrichtung Schagenstraße","Schagenstraße 40","52078","Aachen"
"19","77",50.761138,6.10033,"Städt. GGS Am Höfling","Am Höfling 14","52066","Aachen"
"92","119",50.77959,6.151261,"Städt. GGS Brühlstraße","Brühlstraße 2","52080","Aachen"
"126","115",50.76964,6.076059,"Städt. GGS Gerlachstraße","Gerlachstraße 7","52064","Aachen"
"135","109",50.753301,6.142987,"Städt. GGS Gleiwitzer Straße","Gleiwitzer Straße 10","52078","Aachen"
"159","99",50.815179,6.05817,"Städt. GGS Grünenthaler Straße","Grünenthaler Straße 2","52072","Aachen"
"156","102",50.794553,6.128046,"Städt. GGS Haarbachtalstraße","Haarbachtalstraße 10","52080","Aachen"
"170","42",50.768604,6.027848,"Städt. GGS Keltenstraße","Keltenstraße 19","52074","Aachen"
"239","35",50.722728,6.141656,"Städt. GGS Oberforstbacher Str.","Oberforstbacher Straße 332","52076","Aachen"
"222","46",50.771491,6.041521,"Städt. GGS Philipp-Neri-Weg","Philipp-Neri-Weg 12","52074","Aachen"
"96","36",50.78183,6.084366,"Städt. GGS Saarstraße","Saarstraße 66","52062","Aachen"
"83","29",50.767087,6.135976,"Städt. GGS Schwalbenweg","Schwalbenweg 4 + 6","52078","Aachen"
"10","95",50.802369,6.051965,"Städt. GGS Vetschauer Straße","Vetschauer Straße 2","52072","Aachen"
"172","40",50.706387,6.177286,"Städt. GGS u. Kita Kirchberg","Kirchberg 14","52076","Aachen"
"39","90",50.775398,6.103482,"Städt. GHS Aretzstraße","Aretzstraße 10-30","52070","Aachen"
"202","62",50.759248,6.092116,"Städt. GHS Malmedyer Straße","Malmedyer Straße 12","52066","Aachen"
"236","55",50.763388,6.117926,"Städt. GHS Obere Drimborn Straße","Obere Drimbornstraße 50","52066","Aachen"
"162","44",50.781291,6.149594,"Städt. GHS u. Montessori GS Kaiserstraße","Kaiserstraße 59","52080","Aachen"
"130","34",50.750691,6.153793,"Städt. GS Rombachstraße","Rombachstraße 99","52078","Aachen"
"75","643",50.765964,6.103567,"Städt. Gesamtschule Bergische Gasse","Bergische Gasse 18","52066","Aachen"
"149","96",50.80468,6.049839,"Städt. Gesamtschule Hander Weg","Hander Weg 89","52072","Aachen"
"94","73",50.780981,6.087615,"Städt. Gesamtschule Sandkaulstraße","Sandkaulstraße 75","52062","Aachen"
"50","301",50.777054,6.081776,"Städt. Gymnasium Augustinerbach","Augustinerbach 5/7","52062","Aachen"
"124","108",50.725932,6.178487,"Städt. Gymnasium Gangolfsweg","Gangolfsweg 52","52076","Aachen"
"111","487",50.773062,6.082773,"Städt. Gymnasium Jesuitenstraße","Jesuitenstraße 9/11","52062","Aachen"
"190","261",50.763719,6.070996,"Städt. Gymnasium Lütticher Straße","Lütticher Straße 111a","52074","Aachen"
"194","437",50.758372,6.087066,"Städt. Gymnasium Rhein-Maas-Straße","Rhein-Maas-Straße 2","52066","Aachen"
"189","248",50.756978,6.09293,"Städt. Gymnasium Robert Schuman Straße","Robert-Schuman-Straße 4","52066","Aachen"
"45","122",50.776327,6.122302,"Städt. Gymnasium Stolberger Straße","Stolberger Straße 200","52068","Aachen"
"5","81",50.779963,6.059158,"Städt. Kath. GS Ahornstraße","Ahornstraße 60","52074","Aachen"
"28","83",50.759807,6.109318,"Städt. Kath. GS Am Römerhof","Am Römerhof 31","52066","Aachen"
"73","76",50.773956,6.093932,"Städt. Kath. GS Beeckstraße","Beeckstraße 15","52062","Aachen"
"77","127",50.782885,6.163648,"Städt. Kath. GS Birkstraße","Birkstraße 6","52080","Aachen"
"97","116",50.775288,6.113927,"Städt. Kath. GS Düppelstraße","Düppelstraße 19","52068","Aachen"
"117","121",50.791517,6.11551,"Städt. Kath. GS Feldstraße","Feldstraße 59","52070","Aachen"
"151","103",50.769,6.068285,"Städt. Kath. GS Hanbrucher Straße","Hanbrucher Straße 29","52064","Aachen"
"145","91",50.797265,6.151736,"Städt. Kath. GS Heider-Hof-Weg","Heider- Hof-Weg 12","52080","Aachen"
"128","51",50.753296,6.082301,"Städt. Kath. GS Höfchensweg","Höfchensweg 44","52066","Aachen"
"268","124",50.774046,6.082555,"Städt. Kath. GS Jesuitenstraße","Jesuitenstraße 8","52062","Aachen"
"167","60",50.753088,6.16197,"Städt. Kath. GS Karl-Kuck-Straße","Karl-Kuck-Straße 33-35","52078","Aachen"
"181","63",50.759924,6.132011,"Städt. Kath. GS Lintertstraße","Lintertstraße 68","52076","Aachen"
"186","59",50.771301,6.10194,"Städt. Kath. GS Luisenstraße","Luisenstraße 42","52070","Aachen"
"215","66",50.748354,6.162345,"Städt. Kath. GS Marktstraße","Marktstraße 25","52078","Aachen"
"223","67",50.764236,6.095138,"Städt. Kath. GS Michaelsbergstraße","Michaelsbergstraße 14/22","52066","Aachen"
"235","88",50.832474,6.042893,"Städt. Kath. GS Oberdorfstraße","Oberdorfstraße 11","52072","Aachen"
"244","80",50.780338,6.098339,"Städt. Kath. GS Paßstraße","Passstraße 10","52070","Aachen"
"210","48",50.739992,6.047855,"Städt. Kath. GS Reimser Straße","Reimser Straße 67","52074","Aachen"
"332","70",50.769544,6.122199,"Städt. Kath. u. Montessori GS Matarestraße","Mataréstraße 11","52078","Aachen"
"74","441",50.773608,6.09357,"Städt. Kaufm. Schule II Beeckstr.","Beeckstraße 17","52062","Aachen"
"207","291",50.766445,6.079437,"Städt. Montessori GS Reumontstraße","Reumontstraße 52","52064","Aachen"
"17","82",50.789202,6.100139,"Städt. RS Alkuinstraße","Alkuinstraße 40","52070","Aachen"
"123","107",50.764427,6.101537,"Städt. RS Im Gillesbachtal","Im Gillesbachtal 35","52066","Aachen"
"79","118",50.778225,6.106489,"Städt. Real- u. Abendrealschule der Stadt u. des Kreises AC Bischofstraße","Bischofstraße 21","52068","Aachen"
"42","98",50.784947,6.114119,"Städt. Schule für Erziehungshilfe Talbotstraße","Talbotstraße 20","52068","Aachen"
"103","111",50.778965,6.103993,"ehem. Städt. GGS Eintrachtstraße","Eintrachtstraße 3","52068","Aachen"
"136","104",50.767604,6.059897,"ehem. Städt. GHS + GGS Händelstraße","Händelstraße 10","52074","Aachen"
"178","376",50.79728,5.995413,"Bürgerhaus Lemierser Berg","Lemierser Berg 12","52074","Aachen"
"165","225",50.757826,6.095521,"Haus der Jugend Kalverbenden","Kalverbenden 2","52066","Aachen"
"138","831",50.814566,6.05601,"Jugendeinrichtung Richterich","Grünenthaler Straße 25c","52072","Aachen"
"266","383",50.771916,6.09757,"Jugendgerichtshilfe Alfonsstraße","Alfonsstraße 24","52070","Aachen"
"104","234",50.781022,6.102122,"Museum Jülicher Straße","Jülicher Straße 97/109","52070","Aachen"
"220","205",50.777345,6.082815,"Museum Pontstraße","Pontstraße 13","52062","Aachen"
"3","201",50.773503,6.095763,"Museum Wilhelmstraße","Wilhelmstraße 18/20","52070","Aachen"
"40","303",50.772527,6.0876,"Stadttheater Theaterplatz","Theaterplatz 19","52062","Aachen"
"142","558",50.770636,6.081156,"Theaterwerkstätten - Probebühne Hubertusstraße","Hubertusstraße 2-6","52064","Aachen"
"35","84",50.770134,6.073087,"Welthaus An der Schanz","An der Schanz 1","52064","Aachen"
